request_id,source_location_id,destination_location_id,category,urgency_level,weight_estimate_kg,volume_estimate_m3,time_submitted,deadline,status,assigned_truck_id,priority_score
132,40,51,household,3,465.9,4.66,2025-08-06 12:27:00,2025-08-11 18:00:00,completed,17,3.35
133,31,52,commercial,2,476.3,4.76,2025-08-05 14:56:00,2025-08-13 18:00:00,pending,,2.31
134,5,53,industrial,5,85.6,0.86,2025-08-05 12:53:00,2025-08-10 18:00:00,pending,,5.4
135,20,53,medical,3,294.2,2.94,2025-08-05 14:10:00,2025-08-12 18:00:00,scheduled,25,3.33
136,12,54,construction,5,333.8,3.34,2025-08-06 07:32:00,2025-08-10 18:00:00,pending,,5.84
137,11,52,household,5,487.2,4.87,2025-08-03 16:14:00,2025-08-10 18:00:00,completed,12,5.36
138,20,53,construction,3,133.5,1.33,2025-08-06 13:56:00,2025-08-11 18:00:00,completed,30,3.05
139,38,52,household,5,137.0,1.37,2025-08-09 18:25:00,2025-08-14 18:00:00,pending,,5.67
140,29,51,industrial,4,357.2,3.57,2025-08-03 16:41:00,2025-08-15 18:00:00,pending,,4.03
141,39,53,medical,4,371.5,3.71,2025-08-07 18:37:00,2025-08-14 18:00:00,scheduled,30,4.35
142,48,54,recyclable,5,419.9,4.2,2025-08-04 13:25:00,2025-08-12 18:00:00,pending,,5.45
143,3,52,medical,3,484.0,4.84,2025-08-01 13:58:00,2025-08-12 18:00:00,pending,,3.7
144,18,55,commercial,4,338.6,3.39,2025-08-01 12:50:00,2025-08-12 18:00:00,in_progress,27,4.78
145,45,53,recyclable,5,449.4,4.49,2025-08-07 18:11:00,2025-08-15 18:00:00,pending,,5.15
146,8,56,medical,5,146.1,1.46,2025-08-06 14:31:00,2025-08-11 18:00:00,in_progress,29,5.99
147,8,51,construction,4,372.7,3.73,2025-08-01 07:30:00,2025-08-13 18:00:00,pending,,4.97
148,4,52,construction,5,498.4,4.98,2025-08-04 12:44:00,2025-08-12 18:00:00,completed,27,5.5
149,25,54,commercial,5,99.4,0.99,2025-08-03 12:18:00,2025-08-15 18:00:00,completed,3,5.93
150,45,56,commercial,2,82.7,0.83,2025-08-06 08:37:00,2025-08-10 18:00:00,scheduled,20,2.16
151,25,52,recyclable,2,364.0,3.64,2025-08-07 06:38:00,2025-08-12 18:00:00,pending,,2.5
152,33,56,medical,1,447.6,4.48,2025-08-07 08:14:00,2025-08-11 18:00:00,pending,,1.18
153,50,51,household,3,182.5,1.82,2025-08-08 11:31:00,2025-08-13 18:00:00,pending,,3.65
154,44,51,construction,3,174.5,1.75,2025-08-03 13:39:00,2025-08-15 18:00:00,pending,,3.19
155,21,54,household,4,234.9,2.35,2025-08-09 13:13:00,2025-08-13 18:00:00,scheduled,4,4.51
156,47,52,commercial,2,320.2,3.2,2025-08-05 09:42:00,2025-08-14 18:00:00,scheduled,8,2.89
157,34,51,recyclable,4,316.0,3.16,2025-08-06 10:13:00,2025-08-12 18:00:00,pending,,4.27
158,12,54,household,1,124.7,1.25,2025-08-05 08:45:00,2025-08-15 18:00:00,pending,,1.54
159,45,56,medical,1,194.0,1.94,2025-08-04 18:55:00,2025-08-13 18:00:00,in_progress,1,1.22
160,14,56,commercial,1,497.9,4.98,2025-08-07 06:04:00,2025-08-10 18:00:00,in_progress,2,1.87
161,4,52,commercial,3,152.0,1.52,2025-08-06 12:05:00,2025-08-12 18:00:00,pending,,3.21
162,48,53,medical,4,58.7,0.59,2025-08-02 11:48:00,2025-08-12 18:00:00,pending,,4.53
163,49,51,commercial,4,127.7,1.28,2025-08-06 10:11:00,2025-08-13 18:00:00,pending,,4.28
164,28,54,construction,5,348.7,3.49,2025-08-04 15:03:00,2025-08-12 18:00:00,in_progress,23,5.5
165,47,52,industrial,2,254.3,2.54,2025-08-03 17:25:00,2025-08-14 18:00:00,completed,2,2.71
166,35,52,construction,5,80.8,0.81,2025-08-04 08:16:00,2025-08-15 18:00:00,completed,6,5.94
167,49,55,industrial,5,70.7,0.71,2025-08-01 08:13:00,2025-08-15 18:00:00,pending,,5.01
168,1,51,recyclable,4,267.9,2.68,2025-08-05 10:56:00,2025-08-11 18:00:00,pending,,4.62
169,50,56,household,5,353.1,3.53,2025-08-03 07:56:00,2025-08-11 18:00:00,pending,,5.36
170,7,54,household,4,142.2,1.42,2025-08-02 16:34:00,2025-08-13 18:00:00,pending,,4.07
171,20,51,recyclable,4,170.2,1.7,2025-08-02 09:37:00,2025-08-13 18:00:00,completed,14,4.91
172,23,52,household,5,252.8,2.53,2025-08-03 09:05:00,2025-08-13 18:00:00,pending,,5.29
173,26,55,medical,1,247.7,2.48,2025-08-03 06:42:00,2025-08-11 18:00:00,completed,25,2.0
174,15,56,industrial,1,463.8,4.64,2025-08-04 17:15:00,2025-08-12 18:00:00,completed,7,1.66
175,31,55,household,3,58.5,0.58,2025-08-03 15:20:00,2025-08-15 18:00:00,completed,7,3.49
176,38,52,construction,4,166.9,1.67,2025-08-01 17:09:00,2025-08-12 18:00:00,pending,,4.22
177,17,53,medical,1,263.9,2.64,2025-08-01 14:25:00,2025-08-12 18:00:00,in_progress,13,1.17
178,6,53,household,1,365.0,3.65,2025-08-04 16:17:00,2025-08-10 18:00:00,pending,,1.83
179,1,53,household,5,89.7,0.9,2025-08-09 09:06:00,2025-08-13 18:00:00,completed,30,5.65
180,47,56,household,4,433.1,4.33,2025-08-03 15:42:00,2025-08-12 18:00:00,scheduled,15,4.03
181,17,54,commercial,1,51.1,0.51,2025-08-02 14:58:00,2025-08-15 18:00:00,pending,,1.04
182,25,51,household,4,86.1,0.86,2025-08-08 10:49:00,2025-08-12 18:00:00,completed,14,4.29
183,49,51,industrial,3,233.1,2.33,2025-08-04 08:19:00,2025-08-14 18:00:00,completed,20,3.9
184,8,52,recyclable,2,55.0,0.55,2025-08-04 17:14:00,2025-08-11 18:00:00,cancelled,7,2.44
185,12,52,construction,1,368.0,3.68,2025-08-02 17:42:00,2025-08-13 18:00:00,scheduled,6,1.57
186,21,55,industrial,4,472.5,4.72,2025-08-07 09:53:00,2025-08-14 18:00:00,cancelled,4,4.76
187,43,52,recyclable,2,445.8,4.46,2025-08-02 14:46:00,2025-08-14 18:00:00,pending,,2.88
188,21,55,household,1,222.4,2.22,2025-08-06 10:36:00,2025-08-10 18:00:00,completed,5,1.34
189,19,54,construction,4,172.8,1.73,2025-08-07 06:29:00,2025-08-14 18:00:00,completed,15,4.85
190,44,55,recyclable,3,420.9,4.21,2025-08-09 11:39:00,2025-08-11 18:00:00,pending,,3.72
191,11,54,construction,3,120.6,1.21,2025-08-02 14:04:00,2025-08-15 18:00:00,pending,,3.42
192,23,53,medical,1,290.5,2.9,2025-08-02 12:41:00,2025-08-10 18:00:00,pending,,1.83
193,6,52,medical,5,342.7,3.43,2025-08-03 07:06:00,2025-08-11 18:00:00,scheduled,10,5.46
194,39,53,commercial,3,304.9,3.05,2025-08-06 15:09:00,2025-08-15 18:00:00,completed,29,3.02
195,47,52,recyclable,2,204.4,2.04,2025-08-04 10:44:00,2025-08-12 18:00:00,cancelled,6,2.58
196,8,52,household,3,209.0,2.09,2025-08-01 11:13:00,2025-08-10 18:00:00,in_progress,29,3.92
197,15,56,commercial,5,73.0,0.73,2025-08-06 06:24:00,2025-08-15 18:00:00,in_progress,1,5.71
198,50,51,construction,5,114.1,1.14,2025-08-09 15:28:00,2025-08-14 18:00:00,pending,,5.8
199,21,55,industrial,1,66.1,0.66,2025-08-04 13:56:00,2025-08-11 18:00:00,completed,14,1.36
200,34,53,household,1,310.5,3.1,2025-08-06 07:55:00,2025-08-10 18:00:00,pending,,1.64
201,49,51,household,4,158.2,1.58,2025-08-08 18:22:00,2025-08-12 18:00:00,scheduled,8,4.37
202,8,55,industrial,4,204.6,2.05,2025-08-07 06:02:00,2025-08-14 18:00:00,pending,,4.98
203,43,52,commercial,4,70.1,0.7,2025-08-05 09:16:00,2025-08-13 18:00:00,completed,23,4.94
204,50,51,commercial,2,129.4,1.29,2025-08-09 14:42:00,2025-08-14 18:00:00,pending,,2.6
205,30,55,household,5,415.2,4.15,2025-08-03 18:34:00,2025-08-13 18:00:00,pending,,5.4
206,5,52,industrial,3,207.2,2.07,2025-08-02 07:55:00,2025-08-13 18:00:00,pending,,3.28
207,16,53,recyclable,4,451.3,4.51,2025-08-04 07:31:00,2025-08-10 18:00:00,pending,,4.33
208,40,52,recyclable,3,142.6,1.43,2025-08-04 10:11:00,2025-08-10 18:00:00,completed,13,3.69
209,32,51,commercial,1,371.8,3.72,2025-08-07 08:14:00,2025-08-15 18:00:00,completed,12,1.66
210,34,51,medical,2,66.9,0.67,2025-08-08 07:24:00,2025-08-14 18:00:00,pending,,2.15
211,2,51,construction,2,71.6,0.72,2025-08-08 09:33:00,2025-08-14 18:00:00,pending,,2.43
212,3,56,industrial,1,306.5,3.06,2025-08-08 13:27:00,2025-08-15 18:00:00,pending,,1.32
213,1,56,household,4,90.6,0.91,2025-08-07 08:31:00,2025-08-10 18:00:00,scheduled,30,4.57
214,33,53,construction,3,150.2,1.5,2025-08-04 10:50:00,2025-08-11 18:00:00,in_progress,2,3.48
215,27,51,commercial,4,197.0,1.97,2025-08-04 07:22:00,2025-08-10 18:00:00,completed,15,4.98
216,2,55,commercial,4,446.8,4.47,2025-08-02 16:08:00,2025-08-14 18:00:00,pending,,4.54
217,5,54,industrial,1,319.9,3.2,2025-08-09 15:37:00,2025-08-12 18:00:00,completed,23,1.4
218,25,56,commercial,4,183.1,1.83,2025-08-08 15:47:00,2025-08-12 18:00:00,completed,13,4.72
219,47,53,commercial,4,377.2,3.77,2025-08-06 18:26:00,2025-08-10 18:00:00,completed,30,4.91
220,42,53,medical,5,155.0,1.55,2025-08-07 16:20:00,2025-08-11 18:00:00,scheduled,28,5.69
221,12,56,construction,4,314.8,3.15,2025-08-02 07:48:00,2025-08-11 18:00:00,completed,14,4.9
222,17,56,household,3,373.1,3.73,2025-08-05 18:37:00,2025-08-14 18:00:00,completed,4,3.56
223,15,52,household,4,149.0,1.49,2025-08-06 07:39:00,2025-08-14 18:00:00,pending,,4.44
224,15,55,recyclable,3,128.1,1.28,2025-08-09 07:40:00,2025-08-13 18:00:00,in_progress,10,3.84
225,30,54,household,5,168.3,1.68,2025-08-08 15:13:00,2025-08-12 18:00:00,pending,,5.78
226,19,56,construction,3,215.3,2.15,2025-08-07 17:01:00,2025-08-10 18:00:00,pending,,3.42
227,33,55,recyclable,4,58.4,0.58,2025-08-09 16:00:00,2025-08-14 18:00:00,pending,,4.47
228,47,53,recyclable,1,76.7,0.77,2025-08-08 17:02:00,2025-08-10 18:00:00,completed,8,1.77
229,37,55,household,1,163.7,1.64,2025-08-01 11:48:00,2025-08-15 18:00:00,scheduled,17,1.42
230,46,54,industrial,5,168.8,1.69,2025-08-05 12:22:00,2025-08-15 18:00:00,in_progress,28,5.68
231,17,51,construction,2,109.0,1.09,2025-08-06 15:29:00,2025-08-12 18:00:00,in_progress,6,2.27
232,7,54,commercial,5,71.8,0.72,2025-08-05 18:22:00,2025-08-12 18:00:00,cancelled,5,5.52
233,12,51,commercial,4,256.0,2.56,2025-08-05 16:15:00,2025-08-13 18:00:00,scheduled,23,4.93
234,49,52,commercial,4,442.2,4.42,2025-08-08 15:08:00,2025-08-12 18:00:00,pending,,4.48
235,33,51,household,2,361.8,3.62,2025-08-05 08:53:00,2025-08-12 18:00:00,pending,,2.02
236,49,51,medical,2,298.5,2.98,2025-08-05 06:04:00,2025-08-13 18:00:00,scheduled,30,2.12
237,47,56,household,3,186.7,1.87,2025-08-01 11:30:00,2025-08-13 18:00:00,pending,,3.9
238,29,56,household,2,70.3,0.7,2025-08-04 08:34:00,2025-08-11 18:00:00,pending,,2.4
239,27,51,construction,5,176.6,1.77,2025-08-04 13:59:00,2025-08-10 18:00:00,scheduled,22,5.27
240,25,56,recyclable,4,447.4,4.47,2025-08-04 15:57:00,2025-08-12 18:00:00,cancelled,7,4.06
241,20,56,industrial,3,150.3,1.5,2025-08-08 16:21:00,2025-08-12 18:00:00,in_progress,12,3.96
242,48,53,industrial,2,326.3,3.26,2025-08-06 11:58:00,2025-08-15 18:00:00,pending,,2.51
243,36,52,construction,4,314.7,3.15,2025-08-04 06:46:00,2025-08-11 18:00:00,scheduled,23,4.02
244,24,51,construction,2,313.5,3.13,2025-08-03 12:19:00,2025-08-12 18:00:00,pending,,2.84
245,31,52,recyclable,2,229.1,2.29,2025-08-05 16:56:00,2025-08-14 18:00:00,pending,,2.65
246,17,52,industrial,1,424.5,4.25,2025-08-06 15:27:00,2025-08-15 18:00:00,in_progress,2,1.62
247,16,54,recyclable,5,175.7,1.76,2025-08-07 16:51:00,2025-08-14 18:00:00,in_progress,14,5.17
248,20,54,household,2,393.9,3.94,2025-08-03 18:54:00,2025-08-14 18:00:00,pending,,2.19
249,15,56,industrial,3,176.1,1.76,2025-08-04 08:02:00,2025-08-11 18:00:00,pending,,3.82
250,44,54,recyclable,4,356.3,3.56,2025-08-09 09:14:00,2025-08-10 18:00:00,completed,27,4.24
251,4,56,medical,4,221.7,2.22,2025-08-05 16:25:00,2025-08-10 18:00:00,pending,,4.49
252,8,56,medical,3,312.3,3.12,2025-08-09 16:59:00,2025-08-14 18:00:00,in_progress,28,3.09
253,45,55,commercial,1,473.3,4.73,2025-08-03 13:54:00,2025-08-10 18:00:00,pending,,1.58
